CloseHandle,CreateProcess,MemoryManipulation,ProcessSnapshot,ReadFile,Sleep,ThreadManipulation,TokenPrivileges,WriteFile
19,0,0,0,0,1,2,0,0
1,0,0,0,0,91,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,91,0,0,1
0,0,0,0,0,1,0,0,0
1,0,0,0,0,91,0,0,1
1,0,0,0,0,1,0,0,1
6,0,0,0,0,31,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
9,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,1,0,0,1
0,0,0,0,0,91,0,0,0
1,0,0,0,0,1,0,0,1
1,0,0,0,0,91,0,0,1
0,0,0,0,0,1,0,0,0
22,0,0,0,0,31,0,0,0
1,0,0,0,0,91,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
16,0,0,0,0,31,0,0,1
1,0,0,0,0,91,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,91,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,91,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
9,0,0,0,0,91,0,0,1
9,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,31,0,0,1
1,0,0,0,0,91,0,0,1
1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,1
